external_image_url,origin,table,column,record_id,file,line,current_value,suggested_local_path,is_absolute_url,is_video
https://digitalageexpo.com/files/buy_ticket_banner1.jpg,code,,,,src/app/buy_tickets/page.tsx,39,https://digitalageexpo.com/files/buy_ticket_banner1.jpg,/images/external/buy_ticket_banner1.jpg,true,false
https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,code,,,,src/app/event_experience/page.tsx,104,https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,/images/external/listing_pages/818073-dae_index_top_banner.jpg,true,false
https://tradeshowslocal.com/files/listing_pages/817601-cta_img.jpg,code,,,,src/app/event_experience/page.tsx,265,https://tradeshowslocal.com/files/listing_pages/817601-cta_img.jpg,/images/external/listing_pages/817601-cta_img.jpg,true,false
https://digitalageexpo.com/files/listing_pages/817601-book_seat_img.jpg,code,,,,src/app/event_experience/page.tsx,407,https://digitalageexpo.com/files/listing_pages/817601-book_seat_img.jpg,/images/external/listing_pages/817601-book_seat_img.jpg,true,false
https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,code,,,,src/app/event_features/page.tsx,120,https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,/images/external/listing_pages/818073-dae_index_top_banner.jpg,true,false
https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,code,,,,src/app/exhibitor-registration/page.tsx,102,https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,/images/external/listing_pages/818073-dae_index_top_banner.jpg,true,false
https://findusonweb.com/files/listing_pages/817601-27972070586_73eb8ef975_o (1).jpg,code,,,,src/app/exhibitor-registration/page.tsx,138,https://findusonweb.com/files/listing_pages/817601-27972070586_73eb8ef975_o (1).jpg,/images/external/listing_pages/817601-27972070586_73eb8ef975_o%20(1).jpg,true,false
https://digitalageexpo.com/files/listing_pages/817601-backgr.jpg,code,,,,src/app/exhibitor-registration/page.tsx,213,https://digitalageexpo.com/files/listing_pages/817601-backgr.jpg,/images/external/listing_pages/817601-backgr.jpg,true,false
https://digitalageexpo.com/files/listing_pages/817601-exibitor.png,code,,,,src/app/frequently-asked-questions/FaqPageContent.tsx,60,https://digitalageexpo.com/files/listing_pages/817601-exibitor.png,/images/external/listing_pages/817601-exibitor.png,true,false
https://findusonweb.com/files/listing_pages/817601-05_INTRO_OK-1.mp4,code,,,,src/app/glimpse-of-the-show/page.tsx,70,https://findusonweb.com/files/listing_pages/817601-05_INTRO_OK-1.mp4,/images/external/listing_pages/817601-05_INTRO_OK-1.mp4,true,true
https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,code,,,,src/app/members/user_event_summary/page.tsx,46,https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,/images/external/listing_pages/818073-dae_index_top_banner.jpg,true,false
https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,code,,,,src/app/our_sponsor/page.tsx,45,https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,/images/external/listing_pages/818073-dae_index_top_banner.jpg,true,false
https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,code,,,,src/app/sponsors/page.tsx,54,https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,/images/external/listing_pages/818073-dae_index_top_banner.jpg,true,false
https://digitalageexpo.com/files/lobby/event_47.mp4?revision=4aa25b9fb8b4163cbe17606b34b74288,code,,,,src/app/virtual-event/[slug]/page.tsx,450,https://digitalageexpo.com/files/lobby/event_47.mp4?revision=4aa25b9fb8b4163cbe17606b34b74288,/images/external/lobby/event_47.mp4,true,true
https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,code,,,,src/app/why-exhibit/page.tsx,81,https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,/images/external/listing_pages/818073-dae_index_top_banner.jpg,true,false
https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,code,,,,src/app/why_join_exhibit/page.tsx,135,https://digitalageexpo.com/files/listing_pages/818073-dae_index_top_banner.jpg,/images/external/listing_pages/818073-dae_index_top_banner.jpg,true,false
https://digitalageexpo.com/files/lobby/child/event_327.jpg,code,,,,src/components/exhibitors/ExhibitorInformationForm.tsx,35,https://digitalageexpo.com/files/lobby/child/event_327.jpg,/images/external/lobby/child/event_327.jpg,true,false
https://digitalageexpo.com/files/lobby/child/event_1495.png,code,,,,src/components/exhibitors/ExhibitorInformationForm.tsx,36,https://digitalageexpo.com/files/lobby/child/event_1495.png,/images/external/lobby/child/event_1495.png,true,false
https://digitalageexpo.com/files/lobby/child/event_1473.png,code,,,,src/components/exhibitors/ExhibitorInformationForm.tsx,37,https://digitalageexpo.com/files/lobby/child/event_1473.png,/images/external/lobby/child/event_1473.png,true,false
https://digitalageexpo.com/files/lobby/child/event_1496.png,code,,,,src/components/exhibitors/ExhibitorInformationForm.tsx,38,https://digitalageexpo.com/files/lobby/child/event_1496.png,/images/external/lobby/child/event_1496.png,true,false
https://digitalageexpo.com/files/lobby/child/event_1497.png,code,,,,src/components/exhibitors/ExhibitorInformationForm.tsx,39,https://digitalageexpo.com/files/lobby/child/event_1497.png,/images/external/lobby/child/event_1497.png,true,false
https://digitalageexpo.com/files/lobby/child/event_1498.png,code,,,,src/components/exhibitors/ExhibitorInformationForm.tsx,40,https://digitalageexpo.com/files/lobby/child/event_1498.png,/images/external/lobby/child/event_1498.png,true,false
